"","group","agent","fit_AS","fit_DB","fit_VS","fit_SG","r2_AS","r2_DB","r2_VS","r2_SG","id","model","lambda","beta","tau","par","Age","Sex","Nationality","compfail","totalPayment","soc","bias","useful","strategy","pQ1","pQ2","pQ3","pQ4","feedback","Time.taken","strat_soc","AS","DB","VS","SG"
"14",12,2,296.926522887677,299.188533698741,299.15600696811,331.854279158383,0.0943691269080274,0.0946032747255127,0.095255528231043,0.0926494298482882,31,"AS",1.26739510597945,0.0531451027147965,0.0513336928087742,NA,"20","Male","Australia",0,8,"early",1,"3","Probe around until i found an 80% tile and click that until that planet round ended ","A","B","B","B","the bonus payment was very motivating ",1646,0,0,0,1,0
"15",12,3,316.906199649708,319.62158491303,351.572976788831,323.128264991508,0.19354653175601,0.337437360415044,0.227454503347849,0.214204813364218,28,"AS",1.63811259919495,0.0717642753882619,0.0413035948406687,NA,"38","Male","United Kingdom",7,7.1,"none",0,"1","At the beginning I searched for a large number and tried to triangulate larger numbers.","A","A","B","B","",3097,0,1,0,0,0
"16",12,4,486.440189645201,486.314422169591,485.964078195734,487.363888018044,0.40999932903086,0.404943955771925,0.345458396114343,0.398415388008142,30,"VS",1.8536641652226,0.130942988104541,0.136013010532987,0.0714285714285714,"30","Female","United Kingdom",16,6.4,"none",0,"1","Spacing out when the number is low and closer when the number is high","B","A","A","B","instructions were clear",1737,0,1,0,0,0
"17",3,1,412.314177871212,376.815215652291,415.630691291174,382.588466916028,0.34657974275726,0.342705243406939,0.334886080302675,0.344183714250266,7,"DB",0.459001374934425,0.510309214876349,0.00673794699908547,0.0714285714285714,"31","Male","South Africa",0,6.8,"none",0,"1","I tried to find the darkest block and kept all my choices closest to those.","A","B","B","A","",1288,0,0,0,0,1
"18",3,2,331.8499053394,328.055170793239,320.431927007152,323.350847651864,0.382177858850001,0.389242712522349,0.403435299962178,0.398000994351276,5,"VS",0.78922390534861,0.448011606504164,0.0194691744913606,0.0714285714285714,"23","Male","Australia",1,7,"late",1,"3","If my starting point had a score of more than at least ~40, I would search that area for the highest concentration. Anything lower than 40, I would look to the other scientists for help, and click the highest scored region the other scientists had already found until I found a high salt concentration.","A","A","A","A","The instructions we're a bit hard to comprehend at first, but otherwise no issues.",1521,1,1,0,0,0
"19",3,3,393.419854582484,373.071952920776,388.946520102104,395.926072121348,0.267549898257534,0.305432639732746,0.275878136543218,0.262883943375114,6,"DB",0.615858995876871,0.410349640908178,0.0211161500412092,0.0714285714285714,"53","Male","United Kingdom",9,6.8,"early",0,"2","After the first square I checked the other players square to see if they had a higher score and tried to pick a square near theirs if their score was higher.","B","B","B","B","No issues",1280,1,0,0,1,0
"20",3,4,350.970669502446,353.051773686003,357.251669356873,352.257644798858,0.232373358858243,0.298463613801258,0.226198834203255,0.287715253172646,4,"AS",0.44521412172505,1.34122767201219,0.00673794699908547,NA,"30","Male","United Kingdom",18,6.8,"early",1,"1","I tried to find higher concentrated region as soon as possible and stick to that particular region.","A","B","B","A","All the instructions are clear and there was no any issues.",1961,0,0,0,0,1
"21",6,1,334.910853568316,337.243739849516,370.087649314124,357.659677538106,0.420759714526624,0.416037431403169,0.395466477850298,0.426067143298033,11,"AS",0.448900982487657,0.497045941055112,0.00673794699908547,NA,"22","Male","United Kingdom",4,6.8,"none",0,"2","Whwen i found an area with high concentration i explored that area","B","A","B","B","",921,0,1,0,0,0
"22",6,2,370.625117175911,378.518948929963,407.397981555624,387.779791788413,0.304708730792824,0.288805388195567,0.23495931447279,0.271762913642742,9,"AS",0.8870338828159,0.328953220902815,0.0319583649987214,NA,"43","Male","United Kingdom",1,7.3,"none",0,"1","Find a hotspot for salt and then concentrate on that area anything over 60 was worth staying for.","B","A","B","B","",978,0,1,0,0,0
"23",6,3,291.969044922518,291.598378191392,292.023427018104,295.046871311082,0.45642612042013,0.457116209854518,0.456324874458643,0.450695971762936,10,"DB",1.40702090860942,0.240886715006595,0.0295794043495677,0.0714285714285714,"24","Male","United States",11,7.9,"early",0,"3","Find a spot above 70 and then use that for salts","B","B","B","A","",965,0,0,1,0,0
"24",6,4,311.126489486621,313.662962531416,324.712208802446,308.275718013606,0.336690422496707,0.331853420530894,0.267852296326241,0.294063428016522,8,"SG",0.847543197657206,0.409314206067224,0.0228021910846176,26.6233115514138,"25","Male","Canada",2,7.2,"early",0,"2","When I saw one of the other players get a high-scoring tile, I clicked on it as well to see if mine would be high, but only if the area in which I started had a low score. If the tile I started on had a high score, I tended to stay near that area.","A","B","B","B","Fun study :)",1026,1,0,0,1,0
"25",7,1,324.224442145469,325.649269697425,347.581525465838,340.830678034038,0.391515399735861,0.388826973397708,0.347121284854217,0.360722642580363,12,"AS",0.723713378805634,0.420313828484627,0.024512356911538,NA,"37","Male","United Kingdom",0,7.3,"early",0,"3","I used the other players to inform my choices, then i worked around a chosen square to try and maximise my reward.","A","B","B","B","Instructions were good and clear, everything worked and the reward was reasonable",1061,1,0,0,1,0
"26",7,2,344.967767612559,343.989199872779,363.855600569049,341.275923987484,0.357755655840405,0.359577506039919,0.322591199828501,0.364628952160626,13,"SG",0.731125509531842,0.426884341436994,0.0236241454550173,20.5736377822267,"69","Female","United Kingdom",1,7,"none",0,"2","try and get as much salt as I could","A","A","A","A","it was all fine",1033,0,1,0,0,0
"27",7,3,288.426178064703,290.779644805679,356.131993908013,314.104837107973,0.456938133844843,0.452372824777648,0.329681315504882,0.409064105804615,14,"AS",0.712210563079804,0.462105117352851,0.0177499928095911,NA,"43","Male","United Kingdom",0,7.2,"early",0,"2","I concentrated on finding one good salt square and then excavating around that area as more good salt areas are usually found close by","A","B","B","B","The instructions were very clear and easy to understand and the study was enjoyable. The bonus payments were very fair.",1330,0,0,0,1,0
"28",7,4,332.187177548117,325.847545747232,356.914652862143,323.929501550437,0.373557085946137,0.385337604829271,0.32725500299146,0.388985768707661,15,"SG",0.979803750561006,0.425097124013567,0.0300441819545476,90.0171313005218,"58","Male","United Kingdom",3,7.2,"none",0,"2","A little like the game ""battleships"" - make guesses in a grid several spaces apart until hitting a higher number, then make guesses closer in to try and guess which direction to male further guesses to hit the higher concentration","B","A","A","B","That was a very enjoyable study!",1113,0,1,0,0,0
"29",9,1,325.17304592872,323.480361914364,326.099293132239,325.415720961094,0.382570863663156,0.385741509709066,0.380842845572195,0.38211772273277,16,"DB",1.9424482170642,0.00673794699908547,0.0553988140387783,0.0941914240317777,"28","Female","Canada",1,7.4,"early",0,"2","If I started with a high number I would test areas around that number, not really paying attention to the other participants. If I started with a low number I would use the other participant's maps to guide my first choice and go from there.","A","B","B","B","Really fun experiment to participate in!",1100,1,0,0,1,0
"30",9,2,396.325126188903,390.966718925353,398.152182158842,388.545210059371,0.262141003767524,0.272117027853878,0.258739479122838,0.276625276216538,17,"SG",1.02441023369693,0.311071871079857,0.0405106982580973,6.10769926597838,"57","Male","United Kingdom",0,7.2,"early",0,"3","See the initial figure, if high stay there. If low check on others figures. Check if anyone had a high figure. ","A","B","A","B","Very clear and interesting.",1190,1,0,0,1,0
"31",9,3,370.780851339988,371.300901012328,370.446701042364,371.035389884019,0.274088915157888,0.277553214916213,0.273585553602177,0.286230189447356,19,"VS",1.08391675060517,0.355445256842217,0.0360896651140914,0.0714285714285714,"63","Female","United Kingdom",0,6.8,"late",0,"2","To search around until I found a high scoring area .Then do near squares to high scoring.
Later on in the game I thought about looking how others were doing and copying any high scoring areas they found.","A","B","B","B","The bonus is motivating ",1243,1,0,0,1,0
"32",9,4,389.907561974524,388.046787699378,390.177931832592,383.386137028244,0.309698102104315,0.308729898718088,0.310320207004822,0.309224214525179,18,"SG",0.802247979906749,0.453975572083581,0.0340014568075656,90.0171313005218,"31","Female","South Africa",1,7.1,"none",0,"1","To collect as must salt from different planets","A","B","B","B","The instructions were clear. No issues ",1143,0,0,0,1,0
"33",16,1,422.118735555319,422.532280144039,431.758371574267,434.404197879875,0.207589394269183,0.206803255438656,0.189219208048785,0.184393337949802,0,"AS",2.34400431240778,0.00673794699908547,0.0993517334255951,NA,"57","Male","United Kingdom",4,6.6,"early",2,"2","choose squares next to a dark sauare","B","A","B","B","very clear",1101,0,1,0,0,0
"34",16,2,379.966855005218,383.786639792368,384.83381360186,385.878460646508,0.388400219173479,0.386891872933064,0.384929904706311,0.388834042934035,2,"AS",0.818220518702136,0.402623769197382,0.0529066861720042,NA,"32","Male","United Kingdom",3,7.7,"consistent",4,"3","Compare my starting sample number with the other players. If mine was smaller I would move to an area closer to theirs. I would continue to do this as the game progressed, moving to a different area if other players were finding higher numbers.","A","B","B","B","Enjoyable game, the bonus payment made it exciting. ",1115,1,0,0,1,0
"35",16,3,328.507698016609,329.317873832207,330.371702963541,328.274678893004,0.109753573633461,0.14053110437686,0.203756501405292,0.20123831471451,3,"SG",1.41800267921541,0.00673794699908547,0.0904004181932371,11.3676765704292,"33","Male","United Kingdom",0,8,"early",4,"3","Following my initial region and my fellow teammates' explored regions, I will try to determine the mine with high concentration (>70). Then I will stay in the region.","A","B","B","B","Yes, instruction is clear and it is a very enjoyable game. Thanks. ",1210,1,0,0,1,0
"36",16,4,478.176764219832,461.64527403276,427.685108765978,429.037698709432,0.292596043728679,0.285484552726397,0.283534975056712,0.281590101595892,1,"VS",1.78705508197573,0.00673794699908547,0.133208272942274,0.0714285714285714,"50","Female","United Kingdom",1,6.6,"none",0,"1","clicked a square until a large number appeared","B","B","B","B","instructions were clear. good fun",1163,0,1,0,0,0
"37",17,1,397.402843140934,399.074173833216,405.14708339679,395.961419398508,0.231425950852391,0.230935272656987,0.235381621479739,0.230489509919634,5,"SG",0.582770004852622,0.475862223099794,0.0317828323660528,25.0540882154663,"20","Female","United Kingdom",0,6.9,"none",0,"1","Seeing the where the highest numbers landed","A","B","A","B","",799,0,0,0,1,0
"38",17,2,412.823057751228,413.086615014478,410.698354158062,413.326046903273,0.236885499757937,0.2336621567233,0.222235597590067,0.239544102077856,4,"VS",1.14988778371402,0.275478745894784,0.0721223832391528,0.0714285714285714,"36","Female","United Kingdom",0,7.2,"none",0,"1","Finding a couple of darker squares to figure out where the best squares worth the most were. ","B","A","B","A","",803,0,0,1,0,0
"39",17,3,366.684645780509,372.167805799729,365.583073972099,361.544026485706,0.30049139118447,0.299316359864644,0.293437775126071,0.299128071271856,7,"SG",1.63626754990446,0.137145700224066,0.0791358183641634,7.41781780407027,"26","Male","United Kingdom",0,7.4,"early",4,"3","I would check squares that my partners had selected to see if I also had a high yeild in that area, and if I found a high number I would check the surrounding squares to see if there were any higher, once I was confident that there was not a higher number around I would continue to select the same high number for each day.","A","B","B","B","Everything was very clear and it felt very interactive, the bonus was definitely motivating.",879,1,0,0,1,0
"40",17,4,375.726038544757,376.35718140333,379.514737047733,376.458316580482,0.317324219962508,0.307115937215288,0.319375073201734,0.326894776917478,6,"AS",0.950519765085313,0.434746043850598,0.0488289658963882,NA,"32","Male","United Kingdom",0,7.2,"none",0,"1","I just tried to think about the general distribution pattern, stuck to close squares if I randomly landed on a high value initially, and if not picked far away from that initial spot to try and hit a high value.","A","A","B","B","",795,0,1,0,0,0
"41",20,1,392.600509645825,389.696746736366,406.69416513451,387.297232861044,0.245471653159914,0.251670527588787,0.230797554557268,0.248208323219002,11,"SG",0.597706516466359,0.448641647290027,0.0316365782898944,12.9497852302951,"32","Male","United Kingdom",3,6.8,"early",4,"2","I tried to search for salt where other researchers had success and explored within those regions","A","B","B","B","",1041,1,0,0,1,0
"42",20,2,308.672797855492,310.090499270351,307.064872564197,307.308668733314,0.261308543170151,0.26672689182065,0.234862508131433,0.271197044799103,8,"VS",1.34201383816452,0.127715185116668,0.0604831590764568,0.0714285714285714,"58","Male","United Kingdom",0,8.2,"early",4,"3","Looked for highest results and searched in that area. Generally settled on a best square.","A","B","B","A","No issues.",1146,0,0,0,0,1
"43",20,3,354.648757911343,355.865198582936,353.7485656872,355.172438130527,0.339732055234795,0.337467344688811,0.341407989681116,0.338757092671635,10,"VS",1.34094218460546,0.178067257802684,0.0665343010764105,0.0714285714285714,"DATA_EXPIRED","Male","Ireland",1,8,"consistent",4,"2","Find the highest number over the first 5 rounds and then tend to stick with it, based on the other high numbers of scientists.","A","B","B","B","It was really enjoyable. It was simple to follow, the instructions were clear, the bonus payment actually helped more than motivated in terms of strategy. ",1145,1,0,0,1,0
"44",20,4,401.920869896552,398.587949638576,409.699549198169,400.437510824019,0.425327879208533,0.422688471122084,0.428321436929336,0.427867548985466,9,"DB",0.885339597564103,0.381211214722774,0.0599793714990306,0.0714285714285714,"31","Male","United States",0,7.3,"none",0,"1","I searched for a high amount and when I found it I stuck to it and uncovered the surrounding area because high amounts were clustered together.","B","A","B","B","",1021,0,1,0,0,0
"45",21,1,389.143750858184,390.547970971957,395.217601063257,389.118598618685,0.212757986139067,0.211966686969522,0.210869153305258,0.211500681268913,13,"SG",0.792430276765986,0.430206375030978,0.0498808772599478,26.4192115340011,"38","Male","United Kingdom",1,7.2,"late",4,"2","I searched myself first, then referred to the other players choices if i couldnt find high numbers straight away","A","B","B","A","the bonus did motivate me. It was fun to play and i looked forward to the next round. It was engaging as a task",1162,1,0,0,0,1
"46",21,2,422.85015440313,423.275183771646,423.864700427548,423.525488733762,0.445176230403254,0.442164579603894,0.447374118162709,0.441493309486952,14,"AS",1.12019443386894,0.39879490863899,0.0613768190830075,NA,"44","Female","United Kingdom",22,6.7,"none",0,"1","I tried to find the highest concentration areas and maximise my finds.","A","B","B","B","Thank you",1123,0,0,0,1,0
"47",21,3,298.011681934895,299.629325535079,296.831133689142,299.98988387368,0.267399761498417,0.266314694210548,0.261167319682215,0.269810316649163,15,"VS",1.60462961469005,0.00673794699908547,0.0744698568303983,0.0714285714285714,"24","Male","United Kingdom",0,7.6,"early",4,"2","Try to find a planet with a number above 70 then search a few planets around that to find the highest number above 70 then repeatedly click that planet until the game is over. I would look at partners boards to help locate areas where there is likely to be a planet above 70. ","A","B","B","B","Everything was clear and easy to understand",972,1,0,0,1,0
"48",21,4,393.500497320875,394.083317930211,396.848119701145,392.205719349497,0.270486579463343,0.267874791932701,0.258863175817995,0.270600105666283,12,"SG",0.81333224638373,0.422554745718129,0.0517446164579703,13.6633838608104,"58","Female","United Kingdom",2,6.8,"none",0,"1","If there was a red square on my planet I went near that.  I disregarded the other scientists info","A","B","A","B","Bonus money was motivating on this fun exercise",1209,0,0,0,1,0
"49",22,1,384.158450377008,385.14823858904,398.03555977824,393.659095263443,0.458070475768742,0.459815310384185,0.450418352397436,0.452384261489644,17,"AS",0.801622354891067,0.35669626867455,0.0516491101695667,NA,"30","Male","United Kingdom",0,7.5,"late",4,"2","If I couldn't find large salt samples on my own in the first couple of days, I would look at the other scientists' grids to see if they were having any better luck and then try where they were looking. ","A","B","B","A","",1028,1,0,0,0,1
"50",22,2,291.085814733057,290.148614261591,295.195988595856,294.140042713209,0.391848424875785,0.393165870660067,0.375601847072719,0.41949062704701,18,"DB",1.29792327940117,0.0791678181835122,0.0634923551548117,0.0714285714285714,"39","Male","United Kingdom",0,8.2,"consistent",4,"3","I monitored the other scores and moved my clicks to the area with the highest. I clicked at random to find a high score to start with. ","B","B","B","B","It was clear and straightforward.",1008,1,1,0,0,0
"51",22,3,326.655568318293,325.947930586195,335.382068951633,311.808152593083,0.251489309110153,0.262114666516461,0.206076537695247,0.254494777558363,19,"SG",1.14867444253994,0.103933758625038,0.0630591605165989,3.82646386086266,"39","Male","United Kingdom",0,7.5,"early",2,"no","To see where the other scientists went and to use their data to zero in on where my salt would most likely be located","A","B","B","B","The experiment was well described, maybe though have a trial version of the task not necessarily with other scientists but somewhere were people can just test the clicking the reveal to see the density?",1067,1,0,0,1,0
"52",22,4,402.046455400533,396.339272678144,426.438951058239,400.432132517603,0.28479233372073,0.282949593787395,0.258956601043713,0.267104491501702,16,"DB",0.42305498525964,0.489337266959728,0.0118269057246438,0.0804769633318584,"50","Female","United States",0,7,"none",0,"1","To carefully look at where I took my step and see the color change and proceed","A","A","A","B","All was well.  No issues",1097,0,1,0,0,0
"53",24,1,426.120983871756,425.860987602231,428.30601658838,425.691808917021,0.514149253466206,0.510716556344106,0.513373491168652,0.50823679601841,2,"SG",0.770379137696611,0.346907251678381,0.0514878236881295,18.3404516556682,"23","Prefer not to say","United States",1,6.7,"none",0,"2","Whenever I found an area with a higher number, I stuck to that specific area. ","B","B","B","A","",1345,0,0,1,0,0
"54",24,2,383.119179837013,382.088767074817,402.096806011334,378.81802311632,0.207613183411373,0.223677745728432,0.150297750139955,0.201175387818286,3,"SG",0.829499752731041,0.402789655951827,0.0482950454045739,5.99771862435314,"35","Male","United Kingdom",0,7.4,"consistent",4,"3","Observe all grids from all players to see if any have a high salt content shown each round, if not attempt salt collection in a cell region not shown in any player's grid. When a player has found a high salt content cell, move to that region if not already in a high salt content region myself.","A","B","B","B","Allow a grace period to read the instructions on the actual game screen, I didn't really have time to read all the text until I had already started playing and kept looking back when I had a moment to try and understand what it was trying to tell me.",1093,1,0,0,1,0
"55",24,3,260.964302681364,262.808102278618,261.380986752494,264.140052324654,0.206668513660307,0.207152562169421,0.202600525181941,0.207467530882239,0,"AS",1.54045771696371,0.00673794699908547,0.0628546153249796,NA,"28","Male","United Kingdom",1,8.2,"early",4,"3","I sometimes looked at the other scientists to see where they had scored highest and chose locations close to there, then crept along that area looking for higher amounts then settling on the highest in the local area. ","A","B","B","B","The bonus payment was very motivating, the instructions were also quite clear and I had no issues.",1076,1,0,0,1,0
"56",24,4,425.613574786538,416.984839865657,456.399329842521,429.071498541397,0.286727197464619,0.288645570225211,0.25139556877251,0.294734883505338,1,"DB",0.387592205300521,0.515860020205143,0.00682076480756643,0.0763044331983289,"39","Male","United States",1,6.5,"none",0,"1","Just tried to locate where the highest concentration was each round.","B","A","A","B","",1058,0,1,0,0,0
"57",33,1,406.411417497736,399.305896068502,406.799424204141,398.889981024996,0.279980527250585,0.278261437681465,0.280629885430826,0.276120716862448,31,"SG",2.30980717163839,0.00673794699908547,0.119227227790781,1.90817302911362,"35","Male","United Kingdom",0,7.5,"late",4,"3","I didn't have a strategy at first as it wasn't obvious the other particpants' screens were being shown in real-time. After viewing their screens and seeing where their highest numbers were I plotted point for point. From there I would skip a coordinate or two (due to time constraint) in order to map out the highest concentration before zeroing in the general area with the highest concentration.","A","B","B","B","I think I mis-clicked on the same point during the experiment and wasted a day.

The remaining time to pick could be made more obvious.

I liked how hovering over a co-ordinate also displayed on another participants's map.

I would like the other participants' maps to be larger, as the number can be difficult to read especially on darker colours.",1894,1,0,0,1,0
"58",33,2,406.393816893457,405.032464814731,415.730684245644,404.370490233669,0.220882510215517,0.233824583269282,0.219772812629389,0.235030071481117,28,"SG",0.90420424095897,0.404443316658605,0.0564108100609031,23.7228120961955,"34","Male","United Kingdom",3,7.4,"early",4,"3","I observed my contemporaries and if they hit a hot spot I tried to mine in that area. However, If i hit a hot spot on my own i tended to act individually.","A","A","B","B","The instructions were very clear. The bonus payment focused my efforts during each round and prevented me from absent mindedly clicking through",1500,1,1,0,0,0
"59",33,3,367.128599808777,364.910528532343,392.927758514439,369.755449322841,0.316497687774601,0.320627185849426,0.268466058972119,0.311607146101558,30,"DB",0.712456472757658,0.465111690905014,0.04011409878906,0.107404874549179,"38","Male","United Kingdom",10,7.6,"consistent",4,"2","keeping clusters and assessing the other players clusters","A","B","B","A","",1302,1,0,0,0,1
"60",33,4,386.743008966406,387.6663810387,386.394220154397,388.816223289135,0.243395601253992,0.245930100865427,0.22601267214554,0.247162533198474,29,"VS",1.21093554719483,0.0723247917067134,0.0830688517813888,0.0714285714285714,"35","Male","United States",3,6.8,"early",4,"2","I mostly played conservative, but I'd explore around the map at the start.","B","B","B","A","",2116,0,0,1,0,0
"61",34,1,408.401837688795,404.024306286763,413.487901102336,401.393782299921,0.18826471636414,0.189046417815568,0.197311758697323,0.197829588726575,33,"SG",0.889575377162869,0.320269435840685,0.0574990213525447,4.37046785750077,"35","Male","United Kingdom",1,7.3,"consistent",4,"no","To see if any one else found a high concentration if i didn't have I to start and focus in that area.","A","B","B","B","Instructions were clear and there was no issues",1339,1,0,0,1,0
"62",34,2,427.083805958733,426.670869083126,422.112967609432,422.097416983948,0.263471892664834,0.264333250385007,0.277858794138866,0.28317265869638,35,"SG",2.13944240376886,0.00673794699908547,0.106838259250754,90.0171313005218,"38","Male","United Kingdom",8,6.8,"consistent",4,"2","Judge the starting space and depending on whether it was low or high, move further or start quite close. Keep an eye on the other grids for areas of high salt activity","A","B","A","B","",1220,1,0,0,1,0
"63",34,3,432.852541071532,433.022713489079,409.587419772153,421.026330431049,0.194136025280702,0.19381920648497,0.237449905513984,0.216153493606092,34,"VS",1.97713772118445,0.00673794699908547,0.107529981999972,0.102347642222277,"35","Female","United Kingdom",2,6.8,"early",1,"2","I used some of the scientists information when I wasn't sure where to choose but used my own initiative when I was getting high numbers to stay in that area.","A","A","A","B","The bonus was extremely motivating! No issues. Easy to understand.",1210,1,1,0,0,0
"64",34,4,395.610267777116,395.147607961508,387.882652377322,385.028424059905,0.20909140370982,0.218798686657313,0.19960130368095,0.224212713420295,32,"SG",1.38347690458395,0.174955314938953,0.08106629288675,90.0171313005218,"38","Female","United Kingdom",1,7.2,"none",0,"1","i clicked on squares that the highest number closest to ti","B","B","A","A","",1217,0,0,1,0,0
"65",35,1,455.789549023457,455.997521461389,450.009274405988,453.022096881221,0.151433010645397,0.15104581759566,0.162194447015093,0.156585319507133,36,"VS",1.84949624993872,0.00673794699908547,0.135627971192303,0.0746600655277192,"24","Female","Qatar",1,6.6,"none",0,"1","Look for a high number then dig around it ","A","B","A","B","Yeah it was extremely fun ",1035,0,0,0,1,0
"66",35,2,399.694113039592,394.888632461179,394.027037394646,400.256621036488,0.255868786611187,0.264815398475287,0.26641947459598,0.254821536365023,37,"VS",2.2666468034195,0.00673794699908547,0.117737908351016,0.0714285714285714,"47","Male","United Kingdom",1,6.6,"early",4,"2","find initial hot spot depending on where all the different scintists opening spots were.. then cluster around them","A","B","B","A","",1110,1,0,0,0,1
