"","Time.taken","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","compfail","totalEarning","bonus_for_waiting","completionFee","totalPayment","soc","bias","useful","pQ1","pQ2","pQ3","pQ4","strategy","strategy_diff","feedback","date.y","group","blockOrder","confirmationID.y","agent"
"7661",2157,"32","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,4.17,0.04,6.95,11.2,"early",4,3,"A","B","A","A","My goal was to try and find a 70+ sample on each planet. If the provided first square was of a promising amount then I would sample  a few squares away from that area and see if that increased the sample. I would adjust my direction based off the new information. ","I strategy was similar but I did use the group members information to try and get me close to a good vein of salt.","Thank you for the very engaging, fair paid and enjoyable study! It was very well made.","2023-7-20","58","I-S","gD8x3IyXCFSt4WFiAAAv",3
"7901",1366,"29","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",0,4.03,0.1,6.95,11.1,"consistent",4,4,"A","B","B","B","trying to find darkest areas for most points","Solo scattered selections until i find darker zones,
group rounds seeing where they found dark zones","","2023-7-20","19","S-I","5acauABbh_10N4MwAABj",2
"8368",1693,"29","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",0,4.86,0.02,6.95,11.8,"none",0,2,"A","B","B","A","I was aiming for one box with a high number and kept using it over and over","","Nothing was unclear and everything ran smoothly","2023-7-20","0","I-S","6MBwkM1WhokRknDDAABd",4
"8744",1916,"25","Male","White","Australia","Australia","Australia","English","No","Full-Time",5,4.45,0.02,4.75,9.2,"early",4,3,"A","B","B","A","Depends on how the game starts. If I was given a starting point or another person's point I would use that to guide where I went. If not I would generally try each of the four quarters til I found something in the higher zone","technical difficulties","Instructions were clear, the game was engaging and the bonus was definetely a good motivator to ensure I was getting the best results possible","2023-7-19","38","S-I","la2Q4VprKrzk55UqAAAX",4
"9180",1981,"44","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",1,3.34,0.37,4.75,8.5,"consistent",4,2,"A","B","B","A","When on my owm randomly clicked to try and find hotspots. When with others, tried where looked promising with their clicks.","technical difficulties","It was enjoyable and worked well","2023-7-19","8","S-I","IEDRbdYQSnv4mFwKAAAN",3
"9540",1575,"27","Male","White","Australia","Australia","Australia","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0,3.48,0.05,6.95,10.5,"consistent",4,3,"A","A","A","A","I looked for the highest number and worked my way around that number by placing squares near it.","","","2023-7-20","26","I-S","BCoVtt5AiDXgRdt4AAAL",2
"10022",1596,"21","Female","Black","New Zealand","United Kingdom","United Kingdom","English","Yes","Other",2,3.34,0.05,6.95,10.3,"late",4,2,"A","B","B","A","Clicked around each quadrant then clicked around the ones with the highest number","I looked at the other people's map to see how much they got","This was so fun and yes the bonus was very motivating I really tried my best. 
The instructions were a bit unclear at first but I eventually understood. I think a trial round would make things clearer. Thank you! ","2023-7-20","35","I-S","M-_FJIvaP_Fy3uzHAAB1",3
"10502",1567,"29","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time",1,4.86,0.03,6.95,11.8,"early",4,2,"A","B","B","A","find the sector with most sal and stick with it. If in a team use their data to find sector quicker","I used their sites to locate mine faster","","2023-7-20","26","I-S","TuGhVpd7-HrT_qlUAAAN",3
"10742",1552,"28","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,3.34,0.02,6.95,10.3,"early",4,3,"A","B","B","B","For the planets where I was with other players, I tried to be guided by where their high concentration was, that only worked sometimes though. I just tried to remember where the high concentrations were previously and try those out first but I think it was mostly just trial and error.","I would look at where they were clicking when it was the group rounds.","","2023-7-20","32","S-I","Nkh3Er5m5bhFR_BqAAAX",4
"10982",1536,"52","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3,3.06,0.02,6.95,10,"early",4,4,"A","B","B","A","if I found a high yield I clicked on it several times","in solo rounds I random clicked until I found a high yield, group rounds I looked for their highest yields","no issues","2023-7-20","61","I-S","D1Gb8W872IP3Kb8BAAAX",4
"11295",1719,"32","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,3.75,0.37,4.75,8.9,"early",4,1,"A","B","B","B","At first I was trying to isolate the more fruitful area. Then I decide once i hit a big one e.g. 70+ i'd just revisit it repeatedly. I forgot that was an option. ","technical difficulties","","2023-7-19","8","S-I","oo1gCx2OhlkDt5_fAAAL",2
"11535",2137,"25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",0,4.03,0.06,6.95,11,"early",4,4,"A","B","B","B","when it was just me, I tried to explore for about 30-40% of the guesses until I found an area that was fairly high payoff (over 60), then moved around that area. For when i was playing with others, I tended to pick areas where it was the highest yield for them","Explained above - when it was just me, I tried to explore for about 30-40% of the guesses until I found an area that was fairly high payoff (over 60), then moved around that area. For when i was playing with others, I tended to pick areas where it was the highest yield for them","","2023-7-20","58","I-S","etjrOXmZk2z_I1v1AAAt",2
"11959",1508,"22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",1,3.34,0.02,6.95,10.3,"consistent",4,2,"A","B","B","A","Find the darker wsquares, trial and error","FOLLOWED THE OTHERS ON GROUP ROUNDS","","2023-7-20","26","I-S","oQP073cNI_aIeQAkAAAP",4
"12289",1550,"32","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",1,2.64,0.09,6.95,9.7,"early",1,4,"A","B","B","B","I tended to explore closely around areas with a high yield and not really exploring further away unless yields dropped ","","","2023-7-20","26","I-S","mj0g-Glj_n-7WTCaAAAJ",1
"12845",1898,"66","Male","White","United States","United States","United States","English","No","DATA_EXPIRED",0,3.2,0.21,6.95,10.4,"none",4,2,"A","A","A","A","find the core and work around it","","Interesting survey. Thank you and much success with your study. Thanks again","2023-7-20","36","I-S","3m_cxKt6qBXMclWhAAAr",2
"13085",1549,"42","Female","White","Canada","Canada","Canada","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0,3.34,0.09,6.95,10.4,"early",4,3,"A","A","B","A","I tried to find the darkest squares then branch out around them. I also looked at other player's boards","I took hints from other player's findings","this was interesting! Best of luck in your research!","2023-7-20","48","S-I","gAyxqg2QrGd7wy92AAAB",1
"13610",1927,"46","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,2.78,0.02,4.75,7.6,"early",4,2,"A","B","B","B","Choose squares near where the higher numbers are","technical difficulties","","2023-7-19","29","S-I","1diyGwx0Cb6M6nKvAACi",4
"13850",1687,"62","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.48,0.16,6.95,10.6,"early",0,2,"A","B","B","B","when I found a high score click diagonally, then always follow the highest score","I looked at where other people were scoring high if I was stuck","all good, thank you","2023-7-20","4","S-I","rWs86qnhPl3VVZlBAABr",2
"14090",1374,"24","Female","Black","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",1,4.03,0.05,6.95,11,"early",4,3,"A","B","B","A","Looked for areas with high concentration and picked squares in that area","Used other people's choices to guide me to the high concentration areas","","2023-7-20","19","S-I","yl9QtJEBxHZNPVfYAABl",3
"14330",1603,"29","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",1,3.75,0.19,6.95,10.9,"early",4,3,"A","B","B","A","I tried to get to highest yeilding square, when i found a high one 55+ i would move quite near around it. I did look at group to try to indicate the area i should look for when it was a group option.","I looked at group when i had option and used them as guidance","no issues","2023-7-20","34","I-S","xe_aHVV-VqPu0iJFAAB7",2
"14570",1721,"40","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",0,3.61,0.26,6.95,10.8,"early",4,3,"A","B","B","A","watching to see if anyone else had found high concentrations","I watched the others on the group rounds, on the solos I guessed","good fun!","2023-7-20","6","S-I","Tem8Uq5odSkXs6fbAAA5",2
"14810",1751,"27","Male","Asian","Australia","Australia","Australia","English","No","Full-Time",0,3.75,0.02,6.95,10.7,"consistent",4,3,"A","B","B","B","I would try and look for boxes with high salt scores and then try and click on the boxes around them","My strategy during groups was to observe what other people were doing more and basing my decisions off that. When solo, I would be more random in selecting the boxes","Thank you for this study - this was very enjoyable! Good luck with your research","2023-7-26","25","I-S","fwDs8NgBMSbJuy0mAABb",4
"15050",2191,"55","Male","White","United States","United States","United States","English","No","Full-Time",1,4.31,0.29,6.95,11.6,"early",4,2,"A","B","B","B","Find highest quickly and repeat same spot","","","2023-7-26","54","S-I","6UeXrmwr6mtlUw-HAAA9",1
"15361",2503,"64","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.2,0.08,6.95,10.2,"early",0,2,"A","A","B","B","I occasionally used the rough locations of other scientists but mainly tried to identify areas of concentration by random selections","","No other comments","2023-7-26","54","S-I","vFehnPOUD1lhpiqMAABB",3
"15601",1662,"21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)",0,NA,0.19,0,NA,"early",4,4,"A","B","B","A","i tried to find a high number and then clicked around it then repeated on the highest number afterwards","on group rounds it was easier to find a good cluster from looking at the other maps","","2023-7-20","61","I-S","NknZxnfb0y-hymlTAAAR",1
"15953",1759,"44","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",0,3.34,0.15,4.75,8.2,"late",4,2,"A","A","B","B","To randomly click to find a square with higher content - once found stick to area around that square","technical difficulties","","2023-7-19","38","S-I","9enUioEAjjAueSdpAAAR",1
"16208",1887,"34","Female","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",7,3.2,0.04,4.75,8,"early",4,4,"A","A","B","B","high salt concentration","technical difficulties","","2023-7-19","29","S-I","zr7u0eYNwbud-daHAACg",3
"16710",1632,"30","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",0,3.34,0.17,6.95,10.5,"consistent",4,4,"A","B","B","A","If the first sample is a high number, click on the surrounding squares and follow the highest. If it's a low number to start with, search elsewhere. See what the others have got. ","If one of the others had found a square with a high number, look in the same area.","","2023-7-20","4","S-I","u84MtPqQYDj5MThzAABq",1
"16950",1588,"52","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2,3.61,0.06,6.95,10.6,"late",4,2,"A","B","B","B","Start with a few random squares. If I hit a dark colour, then stick to the area. If in any doubt keep hitting the same highest number I had.","Keep an eye on the dark colours the others hit. If I saw a cluster then I would hit the same area.","None.","2023-7-20","35","I-S","1w1sVB4IcYe26ULzAABz",2
"17341",2571,"37","Male","Asian","China","Australia","Australia","English","No","Part-Time",2,4.45,0.05,6.95,11.5,"early",4,4,"A","B","B","A","Find 70+ square asap and then repeatedly click on it","","","2023-7-20","39","S-I","eIDeaG26dU6Wbj5UAABL",3
"17581",2234,"51","Female","White","South Africa","South Africa","South Africa","English","No","Full-Time",1,2.92,0.44,4.75,8.1,"early",4,2,"A","A","B","A","to identify the highest concentration as soon as possible and mine around the spot","technical difficulties","","2023-7-19","8","S-I","ZZon6hc9kqGk43-QAAAJ",1
"17821",1632,"29","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Due to start a new job within the next month",1,3.34,0.02,6.95,10.3,"consistent",4,4,"A","B","B","A","At first random to find higher yields then click round them. If I thought I found one of the higher amounts I just focused on that same square. ","I would follow the actions of the other group members, also more willing to explore to aid them. ","","2023-7-20","42","S-I","DtwgoGemI1s5BPeuAABF",4
"18216",1461,"37","Female","Other","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.34,0.17,6.95,10.5,"early",4,3,"A","B","B","A","looking at other 'scientist's' squares","looking at other 'scientist's' squares","","2023-7-26","28","I-S","rshdFH0KKF1mD2t4AABN",1
"18456",1976,"45","Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED",0,3.2,0.06,6.95,10.2,"late",2,4,"A","B","B","B","I tried to Select the place where more salt is available then selected the closest places to get more salt","","","2023-7-20","45","I-S","-ElIyxd4QVG9z9vvAAAR",2
"18696",1931,"31","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,3.61,0.1,6.95,10.7,"consistent",3,4,"A","B","B","A","Gradient ascent. Continue in the direction where values seem to increase, step back when they decrease ","In group rounds I relied more on finding a good starting point for gradient ascent based on the other users good spots. ","Cool game! ","2023-7-20","43","I-S","Tw3QzNUU4NuKscL2AAAb",2
"18936",1509,"21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",0,4.03,0.02,6.95,11,"early",4,4,"A","B","B","B","I tried to find the highest deposits based on the colour of the square. When with a team I looked to see where they were clicking.","I used the group rounds to guess where higher salt deposits would be.","","2023-7-26","28","I-S","I97boYsU3ObtM7a3AABT",4
"19176",1864,"28","Male","Asian","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",4,3.34,0.12,6.95,10.4,"early",4,2,"A","B","B","B","I tried looking for spots with the highest numbers and going around those.","I based my guesses differently during ground rounds by looking at the other scientists.","thank you.","2023-7-20","41","I-S","nCtkTpze0SKVo1EaAAAj",2
"19416",1669,"40","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.73,0.04,6.95,11.7,"early",4,4,"A","B","B","A","On my own, I would just click until found a high-ish number and click around it. With the group I would watch to see where the higher numbers seem to be turning up. ","I would watch the group game first before clicking a random spot. ","","2023-7-26","37","S-I","-oSGgL0NvXRLIjzaAAAN",3
"19656",1726,"35","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",8,2.92,0.03,6.95,9.9,"early",4,3,"A","B","B","A","I used where the scientists were searching and then looking for clusters ","I had to find the best cluster so at the start I had to random click areas. ","","2023-7-20","34","I-S","McRfS9guzZG7tG9mAAB_",4
"20144",1723,"28","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,4.31,0.09,6.95,11.4,"early",4,2,"A","B","B","A","Trying to use my first click strategically to find out if I was ""warmer"" or ""colder"" than the original uncovered square so I could work my way towards the highest yielding salt. I found this to be a successful approach and once I thought I had found the highest salt point, I would just stay there rather than risk getting lower-scoring salt points throughout that round. ","My strategy differed, but only in that I used the other players clicks to support my guessing of where I could find the highest salt yeilding points. Other than that, my strategy remained the same. ","Thank you for letting me take part! This has been without a doubt the most fun study I have taken part in via Prolific, after two years on the platform. I hope that you found my responses useful for your study. The instructions were perfectly clear to me, and I found that your information throughout (both the motivating bonus and letting me know how far along the study I was) were really helpful and encouraged me to keep going. Hopefully I will get to do another study by you in the future! Good luck. ","2023-7-26","51","I-S","z8b8Zuag3vztvwCwAAAB",1
"20694",1573,"40","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",0,NA,0.01,0,NA,"early",4,2,"A","B","B","A","Identify a high yielding square then work around that to identify similar or higher yielding squares, working in an alternating pattern","I took inspiration, at times, from the other scientists and where they were likely to have a higher yield depending on the sector.","","2023-7-20","35","I-S","2MJ9NF8er-yDCltFAAB3",4
"20934",1869,"35","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",7,2.92,0.06,4.75,7.7,"early",4,4,"A","B","B","A","To achieve the highest amount of salt samples in one cluster","technical difficulties","very clear instruction and fun to participate in","2023-7-19","29","S-I","2scr63eXRJwpNyYRAACc",1
"21174",1717,"22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",1,4.45,0.19,6.95,11.6,"consistent",4,2,"A","A","B","A","if I started in a high yield area, I would look around that area until I found a tile with around 70ish yield, then repeatedly mine that tile. If I did not start in a high yield area, I went to each corner area of the grid first, then randomly, trying to find an area with 60-70ish yield.","My strategy was mostly unchanged in group rounds, but I also would generally check areas nearby those which had been  found to be high-yield areas by other players.","n/a","2023-7-20","42","S-I","nLCPFW8M_UaxrYyMAAA_",1
"21414",1452,"31","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",0,3.48,0.11,6.95,10.5,"early",4,2,"A","B","B","A","I used my own patterns and also considered the other patterns to","In the group rounds i compared with the other rounds","","2023-7-26","28","I-S","66RMDOoEpUM_F6aDAABR",3
"21654",1849,"36","Male","White","Australia","Australia","Australia","English","No","Part-Time",0,4.73,0.02,4.75,9.5,"early",4,3,"A","B","B","A","find the squares with over 70 salt and click repeatably, move to adjacent squares if salt is in the 60s to find a square above 70.  Look at teammates squares on team planets to find good areas.","technical difficulties","Fun game with great payment, thanks. Instructions were clear, no issues.","2023-7-19","55","S-I","8tZHpOAboAAaxlt2AAAH",4
"22077",1706,"35","Female","Black","Zimbabwe","South Africa","Zimbabwe","English","No","DATA_EXPIRED",0,3.06,0.06,6.95,10.1,"consistent",4,2,"A","B","B","B","Relied on information from other scientists on the location of most salt deposit","At times tried to find my own salt deposits randomly alone.","There were no issues and as much as the bonus payment was motivating all I wanted to do was find the most salt deposit.","2023-7-20","42","S-I","IAZ9JOk_4WMvz5jQAABB",2
"22376",2030,"22","Female","Black","South Africa","South Africa","South Africa","English","Yes","Unemployed (and job seeking)",1,2.78,0.04,4.75,7.6,"consistent",4,3,"A","B","B","A","try figuring out where thhe salt is higher","technical difficulties","","2023-7-19","38","S-I","LFEO7FSXGTVNpYD2AAAV",3
