"","Age","Sex","Ethnicity.simplified","Time.taken","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","totalEarning","bonus_for_waiting","completionFee","totalPayment","soc","bias","useful","pQ1","pQ2","pQ3","pQ4","strategy","feedback"
"1459","49","Male","White",1302,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",3.61,0.09,4.75,8.5,"none",0,1,"B","A","A","B","once i found a high number i chose squares close by and it seemed to work ok.","instructions were clear and the bonus was an incentive too"
"1579","24","Male","Mixed",1302,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",2.92,0.07,4.75,7.7,"consistent",4,3,"A","B","B","A","I saw where people picked first and copied if they had a high sample, I then moved left or right depending on the height of the sample",""
"1699","36","Female","White",1238,"United Kingdom","United Kingdom","Ireland","English","No","Full-Time",2.78,0.08,4.75,7.6,"consistent",4,2,"A","A","B","B","If I had a high number on my board I investigated around it, otherwise looked at the other players and tried spaces near where they had high numbers.",""
"1819","59","Female","White",1204,"United Kingdom","United Kingdom","United Kingdom","English","No","Other",3.34,0.02,4.75,8.1,"late",4,2,"A","B","B","B","Find an area with higher concentration by clicking across quarters, then branch out from the highest score found, then fill in between highest scores","instructions were clear"
"1939","42","Female","White",1767,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.2,0.19,4.75,8.1,"none",0,2,"B","A","B","B","to look somewhere else if others samples were below 50",""
"2059","51","Male","White",1401,"United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",2.36,0.04,4.75,7.2,"none",0,1,"A","A","A","B","As soon as I felt comfortable that I selected a relatively high square of salt concentration, I would then circle and select the areas surrounding this square. If I selected a square that was lower in concentration, then I would randomly select a square in the hope that it may have a higher score...if that makes sense!","Nothing springs to mind, thank you."
"2179","48","Male","White",1096,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",3.61,0.02,4.75,8.4,"none",0,1,"B","A","B","B","I clicked an area at random for the first click, saw if it was high in salt then clustered around there if it was and didn't focuus anywhere else.","Instructions could have been clearer, there were questions asked that did not tie up with the description"
"2299","42","Female","White",995,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2.5,0.07,4.75,7.3,"none",0,2,"A","A","A","B","i tried to follow the darkening colored squares","very enjoyable"
"2419","41","Male","White",2133,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",3.2,0.06,4.75,8,"late",4,1,"A","A","B","B","PIck in a cluster around a high one. So if find say 50+ stick in that area. Didn't get much help from the other players. Start looking for a new high area after numbers start dropping",""
"2539","28","Male","White",1139,"Poland","United Kingdom","Poland","Polish","No","Full-Time",3.34,0.04,4.75,8.1,"early",4,2,"A","B","A","B","I tried finding a concentration of high number of salts, and then keep collecting from what I believed to be the highest number in that cluster.",""
"2659","39","Male","White",1200,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.64,0.02,4.75,7.4,"none",0,1,"B","A","B","A","I used the stratedgy of a grid section drawing a line divided by one space from the top left across to the middle to bottom right, if i hit a square that was higher than fifty i would narrow the search in that area it was a bit hit and miss but sometimes yielded a high score 80%","A very enjoyable study."
"2779","45","Female","White",1342,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",1.95,0.04,4.75,6.7,"consistent",4,2,"A","B","B","B","The first tile was largely just picking somewhere at random. I then tried to consider any concentrations indicated by the other participants tiles and related that to a general area in my region. If I found a high concentration then I would work around this to see if there was a distinct higher % group.",""
"2899","31","Male","White",1833,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",3.34,0.11,4.75,8.2,"none",0,1,"A","B","B","A","making sure i stay in the area where i found salt above 60.",""
"3019","38","Female","White",966,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.09,0.04,4.75,6.9,"early",4,3,"A","B","A","A","I tried to work in blocks of area's that I thought would have high sample rates",""
"3139","40","Female","White",1178,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.22,0.02,4.75,7,"early",4,2,"A","B","B","B","I started off following the other scientists, following the higher figures. At the end I would compare their result and mine, if mine was higher I would stick to exploring my area.","Instructions were clear, became easier after playing a few rounds. Perhaps some practise rounds would have made it clearer. Bonus payment was motivating, yes."
"3259","23","Female","White",1193,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.64,0.12,4.75,7.5,"none",0,1,"A","A","A","B","Pick blocks that were close to other higher concentrations of salt",""
"3379","29","Female","White",1153,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",NA,0.07,0,NA,"none",0,1,"A","A","A","B","If the squares were red I would choose nearby squares, but if the first square I chose was pale I would choose one much further away.",""
"3499","61","Female","White",1286,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2.5,0.02,4.75,7.3,"consistent",1,2,"A","B","B","A","I was a little unsure of it in the first round as the example wasn't entirely clear to me, but I then reasonably quickly realised that hitting upon a high number meant I should look around that number to see if one particular direction yielded even higher numbers.","I think a couple of practice rounds, rather than just a visual example would have been a lot more helpful and I think I would have had much better results."
"3619","26","Female","White",1043,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",3.2,0.03,4.75,8,"early",4,3,"B","A","B","B","Continue chasing the higher numbers like a pathway. But if I feel lost look at the other salt deposits and see if any feel similar to mine.",""
"3739","40","Female","White",1265,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",3.75,0.02,4.75,8.5,"early",4,1,"A","A","B","B","I just clicked until I saw a higher number and then as the numbers got higher I chose squares closer to the higher number to find the hot spots","It was a fun game! The bonus was motivating but I found the game itself quite motivating"
"3859","37","Male","White",1221,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.36,0.05,4.75,7.2,"consistent",4,4,"B","A","B","B","I started search on different sides of the map and then once I hit a dark colour I concentrated on that area. I also kept looking to see if anyone else in the game found a dark area.","I really enjoyed the game! I started to get the hang of it after a few rounds."
"3979","29","Female","White",1038,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.92,0.08,4.75,7.8,"early",4,2,"B","B","B","B","To find a spot with 60+ salt as quickly as possible and then go for squares adjascent to it","It was clear though it would have been good to see an example before the 10s timer started - i was thrown on the first one where i didnt have time to read or familiarise with the set up before having to pick a square"
"4219","42","Female","White",1487,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.09,0.07,4.75,6.9,"early",4,3,"A","B","B","A","find the highest number as possible and look around that square to see if any higher then collect samples from those squares.",""
"4339","58","Female","White",2936,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.92,0.08,4.75,7.8,"early",4,3,"A","A","B","B","finding a high number and mining around it. I did look at where others were mining",""
"4459","32","Male","White",1131,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.36,0.02,4.75,7.1,"consistent",4,2,"B","A","A","B","Trying to find a dark square as quickly as possible.",""
"4669","33","Female","White",968,"Bulgaria","United Kingdom","Bulgaria","Bulgarian","No","Not in paid work (e.g. homemaker', 'retired or disabled)",3.2,0.09,4.75,8,"none",0,1,"A","A","A","B","I was looking for the cluster with the highest numbers,probing around first",""
"4834","56","Female","Black",1331,"Nigeria","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",1.53,0.02,4.75,6.3,"none",0,1,"A","A","A","A","open as many squares as possible while minding the countdown. click the dark coloured grids more than the lighter shades.","I didn't completely understand the instruction that says 'wait for other researchers'"
"5074","40","Female","White",1027,"France","United Kingdom","France","French","DATA_EXPIRED","Full-Time",3.06,0.1,4.75,7.9,"early",2,2,"A","B","B","B","click around until me or other scientists find salts worth 50/60 then dig around",""
"5194","39","Male","Asian",1629,"Canada","United Kingdom","United Kingdom","English","No","Full-Time",2.36,0.08,4.75,7.2,"none",3,3,"B","A","B","B","try to eliminate areas with low clusters by clicking in the corners and then moving inwards",""
"5314","27","Female","White",1214,"United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)",3.48,0.02,4.75,8.3,"none",0,1,"B","B","B","B","Find where a high number was such as between 60-70 and then click places within a similar area. I tried the strategy of picking similar places as before but didn't always work, I just clicked some random squares in each corner if the square already picked for me wasn't the highest number",""
"5620","22","Male","White",838,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time",2.78,0.04,4.75,7.6,"early",4,2,"B","A","B","B","I would go randomly around the grid until i found a good number and expand from there",""
"5740","39","Female","White",1061,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.5,0.11,4.75,7.4,"none",0,1,"A","B","A","B","I tried to find a number in the 30s or 40s and then clicked near it until I reached the highest numbers. I did not find the other scientists information helpful.",""
"5860","39","Male","White",861,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",4.03,0.04,4.75,8.8,"early",4,2,"A","B","A","B","Once a middling area found, mostly be chance, explore to seek local maxima",""
"5980","41","Female","White",882,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time",3.2,0.05,4.75,8,"none",0,2,"A","B","B","B","Trying to find areas clustered together ",""
"6100","20","Male","White",904,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",2.92,0.08,4.75,7.8,"none",0,2,"A","B","A","A","If the first salt shown to me was high, I searched nearby, if not I used random searching to try find a high yield area.",""
"6220","48","Female","White",1101,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.92,0.04,4.75,7.7,"consistent",4,2,"B","A","B","B","I explored different areas until I found a place with decent yields, and then stayed there","the instructions were clear and the bonus payments were motivating"
"6340","39","Female","White",2470,"Germany","United Kingdom","Germany","German","No","Part-Time",3.2,0.11,4.75,8.1,"none",0,1,"A","B","B","B","If i selected a high number i tried staying in the same area if lower i ventured out more",""
"6460","44","Female","White",1864,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.78,0.02,4.75,7.6,"early",4,1,"B","A","B","B","Randomly trying to find the dense areas on my planet, occasionally used the other scientists to guide my search","Instructions were clear. Bonus payment was motivating to try your best"
"6580","43","Female","White",971,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.78,0.02,4.75,7.6,"consistent",4,3,"A","B","A","B","review where other high scores were and plot moves",""
"6700","26","Female","White",1077,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.06,0.02,4.75,7.8,"early",4,2,"B","A","A","B","find hotspots ASAP then open spots around a high number (50/60+)",""
"6820","30","Female","Mixed",1660,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",1.95,0.08,4.75,6.8,"none",0,2,"A","A","A","B","If the number started with was high, i chose to explore the closer regions ","thank you :)"
"6940","45","Female","White",2372,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.92,0.07,4.75,7.7,"none",0,1,"A","A","B","B","To find a high number and explore the area directly around it",""
"7180","59","Male","White",1334,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",3.48,0.04,4.75,8.3,"early",4,2,"A","B","B","B","Look at the other boards to guess where darker areas might be on my board",""
"7300","38","Female","White",1247,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",3.06,0.04,4.75,7.9,"consistent",4,2,"A","B","A","B","Trying to use others high yield to guide where to first look. If not useful from others, random pick and wait until find high number then cluster picks nearby",""
"7420","26","Female","White",1301,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.22,0.02,4.75,7,"late",4,4,"B","A","A","B","I clicked near the 4 corners of the screen to find the greatest salt deposit, then clicked around the most dense salt to find more of it. I also sometimes traced a path between deposits if it looked like there would be a connecting path between them",""
"7626","52","Female","White",1407,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2.92,0.12,4.75,7.8,"none",0,1,"A","A","A","B","I tried each corner area first to see what the colours were then kept to the area where i found the darker squares",""
"7746","40","Male","White",1843,"United Kingdom","United Kingdom","United Kingdom","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",3.2,0.1,4.75,8.1,"none",0,1,"B","A","A","B","find the dark spots and dig around them","yes the bonus was motivating"
"7866","32","Female","White",868,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",2.92,0.03,4.75,7.7,"consistent",4,2,"A","B","B","A","Get as many points as possible by locating the salt spots",""
"7986","47","Female","White",1164,"United Kingdom","United Kingdom","United Kingdom","English","No","Other",2.64,0.08,4.75,7.5,"early",0,2,"A","B","B","B","use half digs for discovery. Find highest value and stick to it.  ",""
"8106","38","Male","Asian",2043,"Pakistan","United Kingdom","United Kingdom","Urdu","No","Full-Time",2.64,0.02,4.75,7.4,"early",4,3,"A","A","A","B","When i noticed a higher score i tried to click around it as the salts are clustered together",""
"8226","37","Male","White",1110,"Ireland","United Kingdom","Ireland","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2.92,0.03,4.75,7.7,"early",4,2,"A","B","B","B","I either looked at the other players and tried some of their sections they've tried, or clicked randomly hoping for higher spots.",""
"8346","39","Female","White",1091,"Hungary","United Kingdom","United Kingdom","Hungarian","DATA_EXPIRED","Full-Time",2.78,0.09,4.75,7.6,"none",0,1,"A","A","A","B","I was trying to stay near to a high yielding area.",""
"8466","46","Female","White",1168,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.92,0.17,4.75,7.8,"early",4,2,"A","A","B","B","to find a concentrated square and mine around it.","It was fun, motivating and I liked trying to work out the strategy"
"8586","30","Female","Other",1361,"Puerto Rico","United States","United States","Spanish","No","Unemployed (and job seeking)",2.92,0.05,4.75,7.7,"early",4,2,"B","A","A","B","I would click around a few times till I found a relatively dark color which meant a higher concentration of salt and then I'd click on the surrounding areas for the remainder of my turns. I would also at times look at where other scientists found their deposits in order to have a better idea of where I should start to look.","Starting up the study provided a warning from my firewall about it not being safe to go to. I had to open and close the link 3 times to finally be able to even get the study to actually load in."
"8706","54","Male","White",1098,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.48,0.15,4.75,8.4,"early",4,3,"A","B","B","B","Explore at stat, with regard to teammates to try and find a decent hotspot, thn explore",""
"8826","33","Male","White",2142,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.78,0.02,4.75,7.6,"early",4,1,"B","B","B","B","Originally i started searching one square at a time, on one of the games this failed to find any hotspots so i changed to a more random approach of grid searching. starting in one corner and moving up or to the side by a few squares at a time to try to find hotspots quicker","I enjoyed this survey and game. It was very engaging. Thank you"
"8946","31","Female","White",2404,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.2,0.02,4.75,8,"late",4,3,"A","B","B","A","seek direction of higher scores","payment was motivating"
"9066","32","Male","White",1740,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.22,0.02,4.75,7,"none",0,1,"B","A","B","B","I stuck to areas that were high rather than explore other areas",""
"9186","38","Female","White",1314,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.22,0.04,4.75,7,"late",4,2,"A","B","B","B","Follow the higher numbers and keep an eye on other maps to see where they are getting yeilds. ","Good instructions, fun to play"
"9306","33","Male","White",967,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",1.67,0.04,4.75,6.5,"consistent",4,4,"A","A","A","B","I tried to stay away from other scientist's exploration to maximise coverage and also tended to steer towards higher numbers of salt squares.",""
"9426","25","Female","White",1752,"Germany","United Kingdom","Germany","German","DATA_EXPIRED","DATA_EXPIRED",3.2,0.13,4.75,8.1,"early",4,2,"B","B","B","B","Following others' decisions was not the best strategy, at times I had to find the highest distribution by random","Bonus payment were very motivating.
The game was also interactive and I did not find it boring compared to other game studies"
"9546","55","Male","White",1145,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.89,0.03,4.75,8.7,"early",4,2,"A","B","B","B","Find a region in the 70's and stick to it",""
"9666","25","Female","White",1005,"United States","United Kingdom","United States","English","Yes","Part-Time",3.2,0.03,4.75,8,"none",0,1,"B","A","B","B","I would find a square with >60 and then select the squares around that","Everything went great! I did use the other scientist positions when answering the questions above, but during the game I rarely did (only if I couldn't find any high numbered square on my own)"
"9786","24","Male","Asian",1016,"Indonesia","United Kingdom","Indonesia","Indonesian","DATA_EXPIRED","DATA_EXPIRED",2.5,0.07,4.75,7.3,"early",4,1,"A","B","B","B","i try to randomy choose the zone, after i get a high number, i will explore nearby area. After i am satisfied, i will keep exploring the same area.",""
"9906","32","Male","White",1175,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",3.61,0.31,4.75,8.7,"consistent",4,3,"B","A","B","A","I would find a high number lets say 50 and then work around that area to find the next largest number. Once found i would repeat collection of the sample","Very clear insurctions"
"10026","56","Prefer not to say","Other",1110,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Full-Time",3.34,0.02,4.75,8.1,"consistent",4,2,"B","B","B","A","See where others are hitting good areas but if i hit 70 or more stay there looking for 80+",""
"10146","43","Male","White",1012,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",4.31,0.07,4.75,9.1,"none",0,1,"B","A","B","B","I hit at random until I found a ""warm"" spot, and then hit more closely around that area until finding a ""hot"" spot.",""
"10266","36","Male","White",995,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",2.78,0.02,4.75,7.6,"none",0,2,"B","A","B","B","Random at first but focus on a high number area once found",""
"10386","47","Male","White",1188,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.36,0.02,4.75,7.1,"none",0,3,"B","A","B","B","Finding a tile with 40 points or above and sticking to the same region",""
"10506","53","Female","White",840,"Canada","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",3.75,0.04,4.75,8.5,"early",4,1,"B","B","B","B","Once a reasonably high number is found, click around to find the highest possible",""
"10626","42","Male","White",1043,"Ireland","United Kingdom","Ireland","English","No","DATA_EXPIRED",2.5,0.06,4.75,7.3,"early",4,2,"A","B","B","A","Find a high scoring area and repeatedly mine it to gain a high score",""
"10746","47","Male","White",926,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.2,0.04,4.75,8,"none",0,1,"B","A","B","B","Find a high performing square and then see where the trend around it increased. ",""
"10944","32","Male","White",1544,"Norway","United Kingdom","Norway","Norwegian","No","Full-Time",3.75,0.04,4.75,8.5,"consistent",4,3,"A","B","B","B","If starting square is of a high value, pick an adjacent square. If not, look at other players' results; if high value, copy. If not, pick random area far away from current area. If above 50, explore area. If 65+ not found, move on.","The instructions were clear, and the game was really fun! Seeing the bonus payment at the end of each round was extra motivating as well. Thanks for inviting me"
"11184","35","Female","White",978,"United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",2.5,0.27,4.75,7.5,"early",4,4,"A","B","B","B","Watching where other people were getting high numbers and selecting the same","All good "
"11415","62","Female","White",1141,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.48,0.05,4.75,8.3,"none",0,2,"A","A","B","B","If i found a high number i would stick around that area",""
"11535","37","Female","White",917,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",3.48,0.02,4.75,8.3,"none",0,3,"B","A","B","B","If it started with a high number I collected salt nearby. If it started low then I went a bit further away until I found a high concentration.","Really enjoyed this."
"11891","32","Male","White",1017,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.78,0.02,4.75,7.6,"none",0,1,"B","A","B","B","I would try to find a dark numbered colour as soon as possible and the concentrate my future clicks around that dark red block","instructions were clear but the questions to clarify if you understand were slightly confusing. But other than that all good"
"12011","53","Female","White",922,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",2.5,0.03,4.75,7.3,"late",4,1,"B","B","B","B","looking for colours., when didnt get a adrk colour looked at others for where their colours were dark",""
"12131","27","Male","White",1813,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.61,0.13,4.75,8.5,"early",4,2,"A","B","A","B","click around fairly randomly until i got a score around 70 then stay there",""
"12251","40","Male","White",978,"Germany","United Kingdom","United Kingdom","English","No","Full-Time",2.92,0.06,4.75,7.7,"early",4,2,"A","B","B","B","If I have a high number visible, like 60+ then I will click next to that field. If I don't have a high number possible, I'll try to find a new high concentration area, by testing other areas of the map, and by looking at where other scientists are getting high numbers.",""
"12371","24","Male","Asian",955,"United Kingdom","United Kingdom","United Kingdom","English","Yes","Due to start a new job within the next month",1.95,0.12,4.75,6.8,"early",4,1,"A","B","B","B","Take a general approach at the start scouting all four corners and then hone in on the area with the darkest colour","Instructions were clear and the bonus payment definitely was motivating"
"12491","33","Female","Black",1740,"Dominican Republic","United States","Dominican Republic","English","DATA_EXPIRED","DATA_EXPIRED",2.92,0.02,4.75,7.7,"early",4,2,"B","A","A","B","I would randomly click at first until I got to a place with a higher yield and then clicked near it. ","The bonus payment was motivating the higher I got the harder I wanted to try the next round."
"12731","20","Female","Black",1238,"United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED",3.06,0.03,4.75,7.8,"early",4,1,"A","B","B","B","I clicked around to see where it would give me high yield and then concentrated on that area.","bonus payment was motivating, very fun game"
"12851","44","Male","White",1237,"United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",2.78,0.05,4.75,7.6,"none",0,1,"B","A","B","B","finding the hotspots for salts","the bonus payment is great, actually was quite fun, instructions was clear"
"12971","40","Female","White",1069,"United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED",2.64,0.05,4.75,7.4,"early",4,2,"A","B","B","B","Stay close to places that were high and if seeming low check where another person found high",""
"13211","37","Female","White",1286,"United States","United Kingdom","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)",2.92,0.03,4.75,7.7,"consistent",1,3,"A","A","B","B","click on squares near high numbers, and if nothing is high, look at the other scientists hot spots to see if I also had any hot spots nearby","all good, fun experiment!"
"13331","54","Male","White",1377,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",3.2,0.2,4.75,8.2,"late",4,1,"B","B","B","B","If I started in a ""good"" area then I would explore and exploit it, but if not then I went semi random with half an eye on where others were choosing. But primarily looking for another hot spot a little randomly.","Thank you so much. What an interesting experiment! Good luck with your study."
"13451","37","Male","White",1361,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.92,0.02,4.75,7.7,"consistent",4,3,"A","B","B","B","If i started with samples over 55 i would stay in the same area, lower i would look to see the results of the other scientists and switch to an area where they were having better results.","The study was very enjoyable, no issues at all."
"13571","21","Male","White",1016,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED",2.5,0.23,4.75,7.5,"none",0,2,"A","B","A","A","spread across the board until finding high concentrate, then go in clusters",""
"13691","34","Male","White",1129,"United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","Full-Time",1.25,0.02,4.75,6,"early",2,2,"A","B","B","B","if i didnt get lucky on the first click i looked at the other boards and tried their high score spots when i got i high score i stayed around the same spot",""
"13811","45","Female","White",1071,"United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED",3.06,0.02,4.75,7.8,"early",4,3,"A","B","A","B","I looked a the colour of the first square on my grid and the other scientists and chose my next move based on that.  If I was successful I stayed in the same area, if not I reviewed the comparative information available from all grids to choose my next site.","Very good instructions and fun to do."
"13931","24","Female","Mixed",1164,"Cyprus","United Kingdom","United Kingdom","English","No","Part-Time",3.61,0.04,4.75,8.4,"none",0,1,"B","A","B","B","Once I found a number that was above 70 I kept clicking it to secure a high no. of salt samples",""
"14051","51","Male","White",2522,"United Kingdom","United Kingdom","United Kingdom","English","No","Part-Time",0.14,0.08,4.75,5,"consistent",2,4,"B","A","B","B","to collect as much salt as possible by going to different planets","N/A"
"14171","31","Male","White",1205,"United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time",2.22,0.04,4.75,7,"early",4,2,"A","B","B","B","I looked at the other players, but also just tried to find a high number and stuck to the immediate area","All great, quite enjoyed it and paid very well to be honest. thank you"
